Round,TrainLoss,TrainAcc,TestLoss,TestAcc
286,3.10870452,0.1870,3.07473437,0.2854
287,3.10619679,0.2380,3.08619912,0.2718
288,3.08978543,0.2050,3.08456718,0.2691
289,3.14137228,0.2110,3.06559140,0.2715
290,3.01043003,0.2330,3.08713034,0.2585
291,3.23841587,0.1990,3.05586630,0.2838
292,3.09576260,0.2070,3.04299871,0.2890
293,3.02709115,0.2120,3.04899149,0.2709
294,3.04016788,0.2420,3.04775182,0.2786
295,3.08728685,0.2060,3.01859798,0.2993
296,3.00413439,0.2370,3.00579024,0.2813
297,3.05080656,0.2370,3.03897093,0.2718
298,3.11978433,0.2250,2.98955505,0.3132
299,2.92765729,0.2300,2.99155658,0.2892
300,2.87459693,0.2310,3.02359549,0.2830
301,2.96405353,0.2510,2.97285499,0.3183
302,3.03746436,0.2470,2.96630224,0.3094
303,2.93655653,0.2470,2.94363098,0.3185
304,2.91893676,0.2540,2.94942743,0.3321
305,2.88002649,0.2730,2.94975378,0.3121
306,2.91883517,0.2680,2.91154177,0.3326
307,2.86798655,0.2840,2.93523257,0.3179
308,2.91623632,0.2590,2.88950766,0.3370
309,2.77836858,0.3140,2.92181588,0.3139
310,3.02793984,0.2500,2.88475722,0.3240
311,2.71516359,0.2830,2.87502828,0.3408
312,2.79876342,0.2800,2.90556506,0.3159
313,2.87380824,0.2650,2.87227285,0.3387
314,2.90387947,0.2500,2.84844920,0.3502
315,2.84777436,0.2920,2.86417895,0.3397
316,2.79720964,0.2970,2.83649179,0.3424
317,2.89912602,0.2670,2.88076671,0.3256
318,2.78130870,0.3050,2.89039225,0.3241
319,2.85303567,0.2650,2.81668652,0.3579
320,2.82430500,0.2900,2.83225428,0.3354
321,2.81921857,0.2950,2.80486609,0.3378
322,2.82457734,0.2810,2.82654208,0.3354
323,2.80806533,0.3000,2.82960895,0.3283
324,2.85797876,0.2760,2.82373643,0.3277
325,2.81061199,0.2960,2.81237192,0.3255
326,2.80506576,0.2840,2.76728868,0.3542
327,2.82695470,0.2620,2.78796974,0.3430
328,2.86681671,0.2950,2.73140904,0.3765
329,2.82188853,0.2890,2.76350070,0.3456
330,2.90743011,0.3040,2.73806765,0.3590
331,2.60069531,0.3240,2.75976829,0.3570
332,2.67554775,0.3430,2.76279270,0.3559
333,2.65696495,0.3430,2.76815463,0.3414
334,2.85238085,0.2940,2.73216355,0.3726
335,2.70716533,0.3190,2.76502473,0.3496
336,2.78055773,0.3100,2.71360897,0.3676
337,2.73096315,0.3290,2.69695116,0.3743
338,2.74846652,0.3010,2.69699488,0.3665
339,2.67326383,0.3030,2.72433126,0.3552
340,2.73553828,0.3100,2.69814649,0.3622
341,2.61305857,0.3380,2.66658447,0.3789
342,2.81977883,0.2940,2.66485663,0.3814
343,2.61587947,0.3590,2.70240404,0.3641
344,2.58758718,0.3600,2.70558700,0.3504
345,2.61059353,0.3270,2.64411519,0.3841
346,2.50308153,0.3530,2.66897146,0.3746
347,2.57322376,0.3430,2.72089585,0.3565
348,2.70405785,0.3190,2.59372381,0.4067
349,2.60606565,0.3320,2.60624916,0.4025
350,2.54956060,0.3660,2.59521324,0.4022
351,2.50884990,0.3790,2.62482642,0.3867
352,2.60941200,0.3430,2.65039160,0.3695
353,2.42364742,0.3710,2.66761568,0.3607
354,2.54665476,0.3540,2.64040984,0.3747
355,2.67625270,0.3400,2.61528563,0.3783
356,2.70574143,0.3130,2.58522856,0.4010
357,2.68765272,0.3110,2.56140500,0.4104
358,2.50206658,0.3880,2.57503786,0.4049
359,2.42242373,0.4020,2.62877954,0.3719
360,2.44419693,0.3860,2.56080319,0.3968
361,2.67729391,0.3310,2.59195833,0.3874
362,2.40495191,0.3840,2.57244975,0.3943
363,2.54327288,0.3500,2.50674072,0.4219
364,2.58579241,0.3560,2.52538193,0.4125
365,2.52709000,0.3740,2.48715451,0.4299
366,2.63810329,0.3680,2.57747417,0.3856
367,2.53906456,0.3520,2.50388765,0.4306
368,2.46015921,0.3720,2.51807704,0.4082
369,2.41215711,0.3990,2.50592082,0.4175
370,2.49040223,0.3980,2.51858996,0.4071
371,2.55293251,0.3440,2.49064462,0.4202
372,2.52183686,0.3800,2.48514435,0.4187
373,2.57589203,0.3430,2.49028540,0.4169
374,2.28872991,0.4230,2.58329300,0.3799
375,2.45861445,0.3840,2.46252940,0.4279
376,2.45722084,0.3920,2.47560713,0.4157
377,2.54169601,0.3430,2.46405160,0.4226
378,2.32238281,0.4130,2.45720454,0.4210
379,2.45553625,0.3750,2.43251201,0.4300
380,2.64172382,0.3570,2.45991914,0.4191
381,2.53941987,0.3580,2.43672135,0.4329
382,2.40447088,0.4110,2.51173723,0.3998
383,2.52835263,0.3680,2.41147438,0.4318
384,2.38879491,0.3970,2.40193718,0.4414
385,2.48794457,0.3710,2.43722686,0.4282
386,2.35024432,0.4080,2.39321019,0.4405
387,2.20565929,0.4530,2.45839996,0.4135
388,2.51842953,0.3760,2.35254694,0.4605
389,2.32640568,0.4180,2.38914515,0.4389
390,2.46990241,0.3490,2.37459286,0.4496
391,2.37506893,0.4150,2.37953342,0.4367
392,2.22846019,0.4490,2.40970131,0.4269
393,2.31242407,0.4260,2.40426092,0.4269
394,2.15698238,0.4860,2.39232874,0.4315
395,2.33053323,0.4300,2.39083327,0.4333
396,2.42041993,0.4060,2.33567076,0.4480
397,2.28387178,0.4150,2.38296415,0.4287
