Round,TrainLoss,TrainAcc,TestLoss,TestAcc
189,0.83634813,0.7524,0.64266865,0.7991
190,0.75789650,0.7812,0.65946194,0.7918
191,0.76444117,0.7707,0.65794118,0.7866
192,0.82557355,0.7561,0.67475926,0.7759
193,0.74228321,0.7768,0.64248685,0.7900
194,0.61062299,0.8173,0.67469219,0.7761
195,0.64179174,0.7997,0.64072716,0.7902
196,0.85195052,0.7572,0.64534615,0.7897
197,0.67885563,0.8035,0.63477358,0.7992
198,0.74155233,0.7832,0.66495596,0.7818
199,0.80386643,0.7659,0.64684332,0.7962
200,0.83435638,0.7615,0.63227205,0.7984
201,0.90920296,0.7488,0.62599273,0.8030
202,0.67501012,0.8015,0.61738613,0.8030
203,0.75600947,0.7805,0.71345736,0.7762
204,0.90311406,0.7400,0.63863424,0.7978
205,0.90858662,0.7291,0.63260942,0.7968
206,0.77647995,0.7696,0.63230396,0.7952
207,0.65122864,0.8020,0.62835799,0.7973
208,0.66913557,0.7940,0.61654456,0.8048
209,0.63818507,0.8111,0.63442102,0.7914
210,0.98526505,0.7309,0.65768617,0.7826
211,0.71869528,0.7951,0.69446745,0.7679
212,0.82738000,0.7644,0.63999179,0.7995
213,0.83045067,0.7627,0.67871349,0.7845
214,0.74742307,0.7726,0.63123696,0.7909
215,0.68928410,0.7879,0.62196911,0.8017
216,0.76885117,0.7763,0.61942688,0.7988
217,0.68892512,0.7905,0.65566034,0.7841
218,0.71109536,0.7943,0.61755618,0.8014
219,0.70570700,0.7953,0.61614773,0.8058
220,0.76989113,0.7707,0.64193970,0.7929
221,0.73291198,0.7905,0.64073623,0.7966
222,0.75971949,0.7801,0.62522333,0.8072
223,0.79553780,0.7665,0.62843894,0.7915
224,0.76453717,0.7900,0.64693641,0.7906
225,0.72618439,0.7838,0.64477163,0.7895
226,0.68538667,0.7986,0.60819779,0.8069
227,0.72317618,0.7882,0.60218120,0.8082
228,0.67103083,0.8264,0.62373710,0.7994
229,0.65865459,0.8053,0.63798515,0.7891
230,0.76288514,0.7741,0.60798352,0.8052
231,0.75106026,0.7861,0.62203777,0.7989
232,0.73354407,0.7789,0.63010803,0.7956
233,0.67372086,0.7969,0.61844988,0.8011
234,0.81893876,0.7657,0.64815713,0.7902
235,0.68846833,0.7955,0.60197241,0.8090
236,0.81277230,0.7530,0.59529225,0.8111
237,0.69435007,0.8017,0.65619597,0.7826
238,0.72806345,0.7799,0.60085659,0.8061
